timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762119737830,134,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,371,184,1,9,http://localhost:8081/produtos,128,0,26
1762119737968,3,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,371,184,1,9,http://localhost:8081/produtos,2,0,0
1762119737972,2,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,452,184,1,9,http://localhost:8081/produtos,2,0,0
1762119737975,3,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,452,184,1,9,http://localhost:8081/produtos,3,0,0
1762119737979,2,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,532,184,1,9,http://localhost:8081/produtos,2,0,0
1762119737982,3,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,612,184,1,9,http://localhost:8081/produtos,3,0,0
1762119737986,2,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,692,184,1,9,http://localhost:8081/produtos,2,0,0
1762119737989,3,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,692,184,1,9,http://localhost:8081/produtos,3,0,0
1762119737993,4,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,772,184,1,9,http://localhost:8081/produtos,4,0,0
1762119737997,3,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,852,184,1,9,http://localhost:8081/produtos,2,0,0
1762119738000,3,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,932,184,1,9,http://localhost:8081/produtos,3,0,0
1762119738003,3,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,1013,184,1,9,http://localhost:8081/produtos,3,0,0
1762119738006,3,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,1013,184,1,9,http://localhost:8081/produtos,3,0,0
1762119738010,2,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,1094,184,1,9,http://localhost:8081/produtos,2,0,0
1762119738013,2,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,1175,184,1,9,http://localhost:8081/produtos,2,0,0
1762119738016,6,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,1175,184,1,9,http://localhost:8081/produtos,6,0,0
1762119738023,4,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,1337,184,1,9,http://localhost:8081/produtos,4,0,0
1762119738027,3,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,1337,184,1,9,http://localhost:8081/produtos,3,0,0
1762119738031,3,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,1418,184,1,9,http://localhost:8081/produtos,3,0,0
1762119738035,3,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,1499,184,1,9,http://localhost:8081/produtos,3,0,0
1762119738039,3,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,1580,184,1,9,http://localhost:8081/produtos,3,0,0
1762119738042,3,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,1580,184,1,9,http://localhost:8081/produtos,3,0,0
1762119738046,3,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,1661,184,1,9,http://localhost:8081/produtos,3,0,0
1762119738050,3,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,1742,184,1,9,http://localhost:8081/produtos,3,0,0
1762119738054,4,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,1823,184,1,9,http://localhost:8081/produtos,4,0,0
1762119738058,3,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,1823,184,1,9,http://localhost:8081/produtos,3,0,0
1762119738062,3,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,1904,184,1,9,http://localhost:8081/produtos,3,0,0
1762119738066,3,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,1985,184,1,9,http://localhost:8081/produtos,3,0,0
1762119738070,4,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,2066,184,1,9,http://localhost:8081/produtos,3,0,0
1762119738074,10,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,2147,184,1,9,http://localhost:8081/produtos,10,0,0
1762119738085,5,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,2228,184,1,9,http://localhost:8081/produtos,5,0,0
1762119738091,8,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,2309,184,1,9,http://localhost:8081/produtos,8,0,0
1762119738100,4,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,2390,184,1,9,http://localhost:8081/produtos,4,0,0
1762119738105,6,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,2471,184,1,9,http://localhost:8081/produtos,6,0,0
1762119738112,11,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,2633,184,1,9,http://localhost:8081/produtos,10,0,0
1762119738124,8,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,2714,184,1,9,http://localhost:8081/produtos,8,0,0
1762119738133,4,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,2714,184,1,9,http://localhost:8081/produtos,4,0,0
1762119738138,4,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,2795,184,1,9,http://localhost:8081/produtos,4,0,0
1762119738143,7,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,2876,184,1,9,http://localhost:8081/produtos,7,0,0
1762119738151,4,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,2957,184,1,9,http://localhost:8081/produtos,4,0,0
1762119738156,5,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,3038,184,1,9,http://localhost:8081/produtos,4,0,0
1762119738162,8,REST - C2: Consultar Lista (Over-fething),200,,C2 - 10 Usuários - Rest - Consulta Complexa 2-1,text,true,,3119,184,1,9,http://localhost:8081/produtos,7,0,0
