timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762119737830,273,GraphQL - C1: Consultar Produto,200,,C1 - 10 Usuários - GraphQL - Latência Base 7-1,text,true,,231,229,1,9,http://localhost:8080/graphql,273,0,26
1762119738107,10,GraphQL - C1: Consultar Produto,200,,C1 - 10 Usuários - GraphQL - Latência Base 7-1,text,true,,231,229,1,9,http://localhost:8080/graphql,9,0,0
1762119738117,9,GraphQL - C1: Consultar Produto,200,,C1 - 10 Usuários - GraphQL - Latência Base 7-1,text,true,,231,229,1,9,http://localhost:8080/graphql,9,0,0
1762119738127,12,GraphQL - C1: Consultar Produto,200,,C1 - 10 Usuários - GraphQL - Latência Base 7-1,text,true,,231,229,1,9,http://localhost:8080/graphql,9,0,0
1762119738139,22,GraphQL - C1: Consultar Produto,200,,C1 - 10 Usuários - GraphQL - Latência Base 7-1,text,true,,231,229,1,9,http://localhost:8080/graphql,21,0,0
1762119738163,7,GraphQL - C1: Consultar Produto,200,,C1 - 10 Usuários - GraphQL - Latência Base 7-1,text,true,,231,229,1,9,http://localhost:8080/graphql,6,0,0
1762119738170,14,GraphQL - C1: Consultar Produto,200,,C1 - 10 Usuários - GraphQL - Latência Base 7-1,text,true,,231,229,1,9,http://localhost:8080/graphql,13,0,0
1762119738184,19,GraphQL - C1: Consultar Produto,200,,C1 - 10 Usuários - GraphQL - Latência Base 7-1,text,true,,231,229,1,9,http://localhost:8080/graphql,19,0,0
1762119738204,10,GraphQL - C1: Consultar Produto,200,,C1 - 10 Usuários - GraphQL - Latência Base 7-1,text,true,,231,229,1,9,http://localhost:8080/graphql,10,0,0
1762119738216,12,GraphQL - C1: Consultar Produto,200,,C1 - 10 Usuários - GraphQL - Latência Base 7-1,text,true,,231,229,1,9,http://localhost:8080/graphql,12,0,0
1762119738229,27,GraphQL - C1: Consultar Produto,200,,C1 - 10 Usuários - GraphQL - Latência Base 7-1,text,true,,231,229,1,11,http://localhost:8080/graphql,23,0,0
1762119738256,35,GraphQL - C1: Consultar Produto,200,,C1 - 10 Usuários - GraphQL - Latência Base 7-1,text,true,,231,229,2,18,http://localhost:8080/graphql,35,0,0
1762119738274,19,GraphQL - C1: Consultar Produto,200,,C1 - 10 Usuários - GraphQL - Latência Base 7-2,text,true,,231,229,2,18,http://localhost:8080/graphql,19,0,3
1762119738293,15,GraphQL - C1: Consultar Produto,200,,C1 - 10 Usuários - GraphQL - Latência Base 7-2,text,true,,231,229,2,18,http://localhost:8080/graphql,15,0,0
1762119738292,33,GraphQL - C1: Consultar Produto,200,,C1 - 10 Usuários - GraphQL - Latência Base 7-1,text,true,,231,229,2,18,http://localhost:8080/graphql,19,0,0
1762119738308,27,GraphQL - C1: Consultar Produto,200,,C1 - 10 Usuários - GraphQL - Latência Base 7-2,text,true,,231,229,2,18,http://localhost:8080/graphql,26,0,0
1762119738325,14,GraphQL - C1: Consultar Produto,200,,C1 - 10 Usuários - GraphQL - Latência Base 7-1,text,true,,231,229,2,18,http://localhost:8080/graphql,14,0,0
1762119738340,42,GraphQL - C1: Consultar Produto,200,,C1 - 10 Usuários - GraphQL - Latência Base 7-1,text,true,,231,229,2,18,http://localhost:8080/graphql,42,0,0
